"homograph"	"wordid"	"label"	"pronunciation"	"homograph_type"	"fine_homograph_type"
"impact"	"impact_nou"	"noun"	"'ɪmˌpækt"	"Morphosyntactic"	"PoS"
"impact"	"impact_vrb"	"verb"	"əm'pækt"	"Morphosyntactic"	"PoS"
"implant"	"implant_nou"	"noun"	"'ɪmˌplænt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"implant"	"implant_vrb"	"verb"	"əm'plænt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"implement"	"implement_nou"	"noun"	"'ɪmpləmənt"	"Lexical"	"PSI"
"implement"	"implement_vrb"	"verb"	"'ɪmpləˌmɛnt"	"Lexical"	"PSI"
"import"	"import_nou"	"noun"	"'ɪmˌpɔːɹt"	"Morphosyntactic"	"PoS"
"import"	"import_vrb"	"verb"	"əm'pɔːɹt"	"Morphosyntactic"	"PoS"
"incense"	"incense_nou"	"noun"	"'ɪnˌsɛns"	"Lexical/Morphosyntactic"	"PoS/PSI"
"incense"	"incense_vrb"	"verb"	"ən'sɛns"	"Lexical/Morphosyntactic"	"PoS/PSI"
"incline"	"incline_nou"	"noun"	"'ɪnˌklaɪn"	"Lexical"	"PSI"
"incline"	"incline_vrb"	"verb"	"ən'klaɪn"	"Lexical"	"PSI"
"increase"	"increase_nou"	"noun"	"'ɪnˌkɹiːs"	"Morphosyntactic"	"PoS"
"increase"	"increase_vrb"	"verb"	"ən'kɹiːs"	"Morphosyntactic"	"PoS"
"increment"	"increment_nou"	"noun"	"'ɪnkɹəmənt"	"Morphosyntactic"	"PoS"
"increment"	"increment_vrb"	"verb"	"'ɪnkɹəˌmɛnt"	"Morphosyntactic"	"PoS"
"initiate"	"initiate_nou"	"noun"	"ə'nɪˌʃiːət"	"Lexical"	"PSI"
"initiate"	"initiate_vrb"	"verb"	"ˌɪ'nɪˌʃiːˌeɪt"	"Lexical"	"PSI"
"insert"	"insert_nou"	"noun"	"'ɪnsɚt"	"Morphosyntactic"	"PoS"
"insert"	"insert_vrb"	"verb"	"ən'sɚt"	"Morphosyntactic"	"PoS"
"instrument"	"instrument_nou"	"noun"	"'ɪnstɹəmənt"	"Lexical"	"PSI"
"instrument"	"instrument_vrb"	"verb"	"'ɪnstɹəˌmɛnt"	"Lexical"	"PSI"
"insult"	"insult_nou"	"noun"	"'ɪnˌsʌlt"	"Morphosyntactic"	"PoS"
"insult"	"insult_vrb"	"verb"	"ˌɪn'sʌlt"	"Morphosyntactic"	"PoS"
"interchange"	"interchange_nou"	"noun"	"'ɪntɚˌʧeɪnʤ"	"Lexical/Morphosyntactic"	"PoS/PSI"
"interchange"	"interchange_vrb"	"verb"	"ˌɪntɚ'ʧeɪnʤ"	"Lexical/Morphosyntactic"	"PoS/PSI"
"intimate"	"intimate_adj"	"adjective-noun"	"'ɪntəmət"	"Lexical"	"PSI"
"intimate"	"intimate_vrb"	"verb"	"'ɪntəˌmeɪt"	"Lexical"	"PSI"
"intrigue"	"intrigue_nou"	"noun"	"'ɪnˌtɹiːɡ"	"Morphosyntactic"	"PoS"
"intrigue"	"intrigue_nou-vrb"	"verb"	"ən'tɹiːɡ"	"Morphosyntactic"	"PoS"
"invalid"	"invalid_adj"	"adjective"	"ən'væləd"	"Lexical"	"PSI"
"invalid"	"invalid_nou"	"noun"	"'ɪnvələd"	"Lexical"	"PSI"
"invert"	"invert_adj-nou"	"noun"	"'ɪnvɚt"	"Lexical"	"PSI"
"invert"	"invert_vrb"	"verb"	"ən'vɚt"	"Lexical"	"PSI"
"invite"	"invite_nou"	"noun"	"'ɪnˌvaɪt"	"Morphosyntactic"	"PoS"
"invite"	"invite_vrb"	"verb"	"ən'vaɪt"	"Morphosyntactic"	"PoS"
"isolate"	"isolate_nou"	"noun"	"'aɪsələt"	"Morphosyntactic"	"PoS"
"isolate"	"isolate"	"verb"	"'aɪsəˌleɪt"	"Morphosyntactic"	"PoS"
"jesus"	"jesus"	"biblical figure"	"'ʤiːzəs"	"Lexical"	"NSO (etymology)"
"jesus"	"jesus_es"	"Spanish given name"	"ˌheɪ'suːs"	"Lexical"	"NSO (etymology)"
"job"	"job_bible"	"biblical figure"	"'ʤoʊb"	"Lexical"	"NSO"
"job"	"job"	"work"	"'ʤɑːb"	"Lexical"	"NSO"
"laminate"	"laminate_nou"	"noun"	"'læmənət"	"Morphosyntactic"	"PoS"
"laminate"	"laminate_vrb"	"verb"	"'læməˌneɪt"	"Morphosyntactic"	"PoS"
"lead"	"lead_nou"	"material"	"'lɛd"	"Lexical"	"NSO"
"lead"	"lead_nou-vrb"	"noun-verb"	"'liːd"	"Lexical"	"NSO"
"learned"	"learned_adj"	"adjective"	"'lɚnəd"	"Morphosyntactic"	"PoS"
"learned"	"learned_vrb"	"verb"	"'lɚnd"	"Morphosyntactic"	"PoS"
"live"	"live_adj"	"adjective"	"'laɪv"	"Lexical/Morphosyntactic"	"PoS/PSI"
"live"	"live_vrb"	"verb"	"'lɪv"	"Lexical/Morphosyntactic"	"PoS/PSI"
"lives"	"lives_nou"	"noun"	"'laɪvz"	"Morphosyntactic"	"PoS"
"lives"	"lives_vrb"	"verb"	"'lɪvz"	"Morphosyntactic"	"PoS"
"mate"	"mate_nou"	"maté"	"'mɑːˌteɪ"	"Lexical"	"NSO"
"mate"	"mate"	"noun-verb"	"'meɪt"	"Lexical"	"NSO"
"minute"	"minute_adj"	"adjective"	"ˌmaɪ'nuːt"	"Lexical"	"NSO"
"minute"	"minute"	"noun"	"'mɪnət"	"Lexical"	"NSO"
"misuse"	"misuse_nou"	"noun"	"ˌmɪs'juːs"	"Morphosyntactic"	"PoS"
"misuse"	"misuse_vrb"	"verb"	"ˌmɪs'juːz"	"Morphosyntactic"	"PoS"
"mobile"	"mobile"	"adjective"	"'moʊbəl"	"Lexical"	"NSO"
"mobile"	"mobile_geo"	"city"	"ˌmoʊ'biːl"	"Lexical"	"NSO"
"mobile"	"mobile_nou-art"	"noun"	"'moʊˌbiːl"	"Lexical"	"NSO"
"moderate"	"moderate_adj-nou"	"adjective-noun"	"'mɑːdɚət"	"Lexical/Morphosyntactic"	"PoS/PSI"
"moderate"	"moderate_vrb"	"verb"	"mɑːdɚ'eɪt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"moped"	"moped_nou"	"noun"	"'moʊˌpɛd"	"Lexical"	"NSO"
"moped"	"moped_vrb"	"verb"	"'moʊpt"	"Lexical"	"NSO"
"mouth"	"mouth_nou"	"noun"	"'maʊθ"	"Lexical"	"PSI"
"mouth"	"mouth_vrb"	"verb"	"'maʊð"	"Lexical"	"PSI"
"nestle"	"nestle_nam"	"Nestlé"	"'nɛˌsliː"	"Lexical"	"NSO"
"nestle"	"nestle_vrb"	"verb"	"'nɛsəl"	"Lexical"	"NSO"
"object"	"object_nou"	"noun"	"'ɑːbʤəkt"	"Lexical"	"NSO"
"object"	"object_vrb"	"verb"	"əb'ʤɛkt"	"Lexical"	"NSO"
"ornament"	"ornament_nou"	"noun"	"'ɔːɹnəmənt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"ornament"	"ornament_vrb"	"verb"	"ˌɔɹːnə'mɛnt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"overthrow"	"overthrow_nou"	"noun"	"'oʊvɚˌθɹoʊ"	"Morphosyntactic"	"PoS"
"overthrow"	"overthrow_vrb"	"verb"	"ˌoʊvɚ'θɹoʊ"	"Morphosyntactic"	"PoS"
"pasty"	"pasty_adj"	"food"	"'peɪˌstiː"	"Lexical"	"NSO"
"pasty"	"pasty_nou"	"adjective-noun"	"'pæsˌtiː"	"Lexical"	"NSO"
"perfect"	"perfect_adj"	"adjective-noun"	"'pɚfəkt"	"Morphosyntactic"	"PoS"
"perfect"	"perfect_vrb"	"verb"	"pɚ'fɛkt"	"Morphosyntactic"	"PoS"
"perfume"	"perfume_nou"	"noun"	"'pɚˌfjuːm"	"Morphosyntactic"	"PoS"
"perfume"	"perfume_vrb"	"verb"	"pɚ'fjuːm"	"Morphosyntactic"	"PoS"
"permit"	"permit_nou"	"noun"	"'pɚmət"	"Morphosyntactic"	"PoS"
"permit"	"permit_vrb"	"verb"	"pɚ'mɪt"	"Morphosyntactic"	"PoS"
"pervert"	"pervert_nou"	"noun"	"'pɚvɚt"	"Lexical"	"PSI"
"pervert"	"pervert_vrb"	"verb"	"pɚ'vɚt"	"Lexical"	"PSI"
"pigment"	"pigment_nou"	"noun"	"'pɪɡmənt"	"Morphosyntactic"	"PoS"
"pigment"	"pigment_vrb"	"verb"	"pəɡ'mɛnt"	"Morphosyntactic"	"PoS"
"polish"	"polish_geo"	"ethnicity / language"	"'poʊləʃ"	"Lexical"	"NSO"
"polish"	"polish"	"noun-verb"	"'pɑːləʃ"	"Lexical"	"NSO"
"postulate"	"postulate_nou"	"noun"	"'pɑːsʧələt"	"Morphosyntactic"	"PoS"
"postulate"	"postulate_vrb"	"verb"	"'pɑːsʧəˌleɪt"	"Morphosyntactic"	"PoS"
"precipitate"	"precipitate_adj-nou"	"adjective-noun"	"pɹə'sɪpətət"	"Lexical/Morphosyntactic"	"PoS/PSI"
"precipitate"	"precipitate_vrb"	"verb"	"pɹə'sɪpəˌteɪt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"predicate"	"predicate_nou"	"noun"	"'pɹɛdəkət"	"Lexical/Morphosyntactic"	"PoS/PSI"
"predicate"	"predicate_vrb"	"verb"	"'pɹɛdəˌkeɪt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"present"	"present_adj-nou"	"adjective"	"'pɹɛzənt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"present"	"present_vrb"	"verb"	"ˌpɹiː'zɛnt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"produce"	"produce_nou"	"noun"	"'pɹoʊˌduːs"	"Lexical/Morphosyntactic"	"PoS/PSI"
"produce"	"produce_vrb"	"verb"	"pɹə'duːs"	"Lexical/Morphosyntactic"	"PoS/PSI"
"progress"	"progress_nou"	"noun"	"'pɹɑːˌɡɹɛs"	"Lexical/Morphosyntactic"	"PoS/PSI"
"progress"	"progress_vrb"	"verb"	"pɹə'ɡɹɛs"	"Lexical/Morphosyntactic"	"PoS/PSI"
"project"	"project_nou"	"noun"	"'pɹɑːˌʤɛkt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"project"	"project_vrb"	"verb"	"pɹə'ʤɛkt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"protest"	"protest_nou"	"noun"	"'pɹoʊˌtɛst"	"Lexical/Morphosyntactic"	"PoS/PSI"
"protest"	"protest_vrb"	"verb"	"pɹə'tɛst"	"Lexical/Morphosyntactic"	"PoS/PSI"
"ravel"	"ravel_nam"	"French composer"	"ɹə'vɛl"	"Lexical"	"NSO"
"ravel"	"ravel_nou"	"noun-verb"	"'ɹævəl"	"Lexical"	"NSO"
"reading"	"reading_en"	"present participle-noun"	"'ɹiːdəŋ"	"Lexical"	"NSO"
"reading"	"reading_geo"	"city"	"'ɹɛdəŋ"	"Lexical"	"NSO"
"read"	"read_past"	"past tense verb"	"'ɹɛd"	"Morphosyntactic"	"M"
"read"	"read_present"	"present tense verb"	"'ɹiːd"	"Morphosyntactic"	"M"
"rebel"	"rebel_nou"	"noun"	"'ɹɛbəl"	"Morphosyntactic"	"PoS"
"rebel"	"rebel_vrb"	"verb"	"ɹə'bɛl"	"Morphosyntactic"	"PoS"
"record"	"record_nou"	"noun"	"'ɹɛkɚd"	"Morphosyntactic"	"PoS"
"record"	"record_vrb"	"verb"	"ɹə'kɔːɹd"	"Morphosyntactic"	"PoS"
"recount"	"recount_nou"	"count again"	"'ɹiːˌkaʊnt"	"Lexical"	"NSO"
"recount"	"recount_vrb"	"give an account"	"ˌɹiː'kaʊnt"	"Lexical"	"NSO"
"refund"	"refund_nou"	"noun"	"'ɹiːˌfʌnd"	"Morphosyntactic"	"PoS"
"refund"	"refund_vrb"	"verb"	"ˌɹɪ'fʌnd"	"Morphosyntactic"	"PoS"
"refuse"	"refuse_nou"	"noun"	"'ɹɛˌfjuːs"	"Lexical"	"PSI"
"refuse"	"refuse_vrb"	"verb"	"ɹə'fjuːz"	"Lexical"	"PSI"
"reject"	"reject_nou"	"noun"	"'ɹiːˌʤɛkt"	"Morphosyntactic"	"PoS"
"reject"	"reject_vrb"	"verb"	"ɹə'ʤɛkt"	"Morphosyntactic"	"PoS"
"rerelease"	"rerelease"	"noun"	"'ɹiːɹəˌliːs"	"Morphosyntactic"	"PoS"
"rerelease"	"rerelease_vrb"	"verb"	"ˌɹiːɹə'liːs"	"Morphosyntactic"	"PoS"
"resume"	"resume_nou"	"résumé"	"'ɹɛzəˌmeɪ"	"Lexical"	"NSO"
"resume"	"resume_vrb"	"verb"	"ɹə'zuːm"	"Lexical"	"NSO"
"retard"	"retard_nou"	"noun"	"'ɹiːˌtɑːɹd"	"Lexical"	"PSI"
"retard"	"retard_vrb"	"verb"	"ɹə'tɑːɹd"	"Lexical"	"PSI"
"rodeo"	"rodeo_geo"	"street"	"ˌɹoʊ'deɪˌoʊ"	"Lexical"	"NSO (loan word vs proper name)"
"rodeo"	"rodeo"	"noun-verb"	"'ɹoʊˌdiːˌoʊ"	"Lexical"	"NSO (loan word vs proper name)"
"row"	"row_1"	"line / propel a boat"	"'ɹoʊ"	"Lexical"	"NSO"
"row"	"row_2"	"quarrel"	"'ɹaʊ"	"Lexical"	"NSO"
"sake"	"sake_jp"	"beverage"	"'sɑːˌkeɪ"	"Lexical"	"NSO"
"sake"	"sake"	"noun"	"'seɪk"	"Lexical"	"NSO"
"separate"	"separate_adj"	"adjective-noun"	"'sɛpɚət"	"Morphosyntactic"	"PoS"
"separate"	"separate_vrb"	"verb"	"'sɛpɚˌeɪt"	"Morphosyntactic"	"PoS"
"sow"	"sow_nou"	"noun"	"'saʊ"	"Lexical"	"NSO"
"sow"	"sow"	"verb"	"'soʊ"	"Lexical"	"NSO"
"subject"	"subject_adj-nou"	"adjective-noun"	"'sʌbˌʤɛkt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"subject"	"subject_vrb"	"verb"	"səb'ʤɛkt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"subordinate"	"subordinate_adj-nou"	"adjective-noun"	"sə'bɔːɹdənət"	"Morphosyntactic"	"PoS"
"subordinate"	"subordinate_vrb"	"verb"	"sə'bɔːɹdəˌneɪt"	"Morphosyntactic"	"PoS"
"supplement"	"supplement_nou"	"noun"	"'sʌpləmənt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"supplement"	"supplement_vrb"	"verb"	"'sʌpləˌmɛnt"	"Lexical/Morphosyntactic"	"PoS/PSI"
"suspect"	"suspect_adj-nou"	"adjective-noun"	"'sʌsˌpɛkt"	"Morphosyntactic"	"PoS"
"suspect"	"suspect_vrb"	"verb"	"səs'pɛkt"	"Morphosyntactic"	"PoS"
"syndicate"	"syndicate_nou"	"noun"	"'sɪndəkət"	"Morphosyntactic"	"PoS"
"syndicate"	"syndicate_vrb"	"verb"	"'sɪndəˌkeɪt"	"Morphosyntactic"	"PoS"
"tear"	"tear_nou"	"cry"	"'tiːɹ"	"Lexical"	"NSO"
"tear"	"tear_vrb"	"rip"	"'tɛɹ"	"Lexical"	"NSO"
"transform"	"transform_nou"	"noun"	"'tɹænsˌfɔːɹm"	"Morphosyntactic"	"PoS"
"transform"	"transform"	"verb"	"ˌtɹæns'fɔːɹm"	"Morphosyntactic"	"PoS"
"transplant"	"transplant_nou"	"noun"	"'tɹænsˌplænt"	"Morphosyntactic"	"PoS"
"transplant"	"transplant_vrb"	"verb"	"ˌtɹæns'plænt"	"Morphosyntactic"	"PoS"
"transport"	"transport_nou"	"noun"	"'tɹænsˌpɔːɹt"	"Morphosyntactic"	"PoS"
"transport"	"transport_vrb"	"verb"	"ˌtɹæns'pɔːɹt"	"Morphosyntactic"	"PoS"
"upset"	"upset_nou"	"adjective-noun"	"'ʌpˌsɛt"	"Morphosyntactic"	"PoS"
"upset"	"upset_vrb"	"verb"	"ˌʌp'sɛt"	"Morphosyntactic"	"PoS"
"uses"	"uses_nou"	"noun"	"'juːsəz"	"Morphosyntactic"	"PoS"
"uses"	"uses_vrb"	"verb"	"'juːzəz"	"Morphosyntactic"	"PoS"
"use"	"use_nou"	"noun"	"'juːs"	"Lexical/Morphosyntactic"	"PoS/PSI"
"use"	"use_vrb"	"verb"	"'juːz"	"Lexical/Morphosyntactic"	"PoS/PSI"
"wind"	"wind_nou"	"noun"	"'wɪnd"	"Lexical"	"NSO"
"wind"	"wind_vrb"	"verb"	"'waɪnd"	"Lexical"	"NSO"
"wound"	"wound_nou-vrb"	"noun-verb"	"'wuːnd"	"Lexical"	"NSO"
"wound"	"wound_vrb"	"past tense"	"'waʊnd"	"Lexical"	"NSO"
